Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,SedentaryActiveDistance,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,TotalActiveMinutes,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance,TotalActiveDistance,TotalCalories
1503960366,3/25/2016,11004,7.11,7.11,0,0,804,205,12,33,250,4.07,0.46,2.57,7.1,1819
1503960366,3/26/2016,17609,11.55,11.55,0,0,588,274,17,89,380,3.91,0.73,6.92,11.56,2154
1503960366,3/27/2016,12736,8.53,8.53,0,0,605,268,5,56,329,3.71,0.16,4.66,8.53,1944
1503960366,3/28/2016,13231,8.93,8.93,0,0,1080,224,20,39,283,4.95,0.79,3.19,8.93,1932
1503960366,3/29/2016,12041,7.85,7.85,0,0,763,243,28,28,299,4.61,1.09,2.16,7.86,1886
1503960366,3/30/2016,10970,7.16,7.16,0,0,1174,223,13,30,266,4.29,0.51,2.36,7.16,1820
1503960366,3/31/2016,12256,7.86,7.86,0,0,820,239,12,33,284,5.04,0.49,2.29,7.82,1889
1503960366,4/1/2016,12262,7.87,7.87,0,0,866,200,21,47,268,3.64,0.83,3.32,7.79,1868
1503960366,4/2/2016,11248,7.25,7.25,0,0,636,244,11,40,295,3.74,0.45,3,7.19,1843
1503960366,4/3/2016,10016,6.37,6.37,0,0,655,314,30,15,359,4.18,1.28,0.91,6.37,1850
1503960366,4/4/2016,14557,9.8,9.8,0,0,757,285,18,43,346,5.69,0.7,3.39,9.78,2030
1503960366,4/5/2016,14844,9.73,9.73,0,0,736,341,18,36,395,6.04,0.76,2.94,9.74,2083
1503960366,4/6/2016,11974,7.67,7.67,0,0,1173,228,12,27,267,5.15,0.48,2.04,7.67,1861
1503960366,4/7/2016,10198,6.44,6.44,0,0,1208,195,20,17,232,4.45,0.79,1.2,6.44,1755
1503960366,4/8/2016,12521,7.94,7.94,0,0,1160,212,22,46,280,3.74,0.9,3.31,7.95,1895
1503960366,4/9/2016,12432,8.1,8.1,0,0,738,248,15,32,295,4.92,0.59,2.59,8.1,1883
1503960366,4/10/2016,10057,6.98,6.98,0,0,737,168,13,44,225,2.48,0.49,4,6.97,1755
1503960366,4/11/2016,10990,7.26,7.26,0,0,855,216,14,26,256,4.65,0.57,2.04,7.26,1811
1503960366,4/12/2016,224,0.14,0.14,0,0,32,9,0,0,9,0.13,0,0,0.13,50
1624580081,3/25/2016,1810,1.18,1.18,0,0.01,1319,121,0,0,121,1.13,0,0,1.13,1373
1624580081,3/26/2016,815,0.53,0.53,0,0,1393,47,0,0,47,0.53,0,0,0.53,1264
1624580081,3/27/2016,1985,1.29,1.29,0,0.01,1328,112,0,0,112,1.28,0,0,1.28,1350
1624580081,3/28/2016,1905,1.24,1.24,0,0,1345,95,0,0,95,1.24,0,0,1.24,1342
1624580081,3/29/2016,1552,1.01,1.01,0,0,1374,66,0,0,66,1,0,0,1,1300
1624580081,3/30/2016,1675,1.09,1.09,0,0,1356,84,0,0,84,1.09,0,0,1.09,1313
1624580081,3/31/2016,4506,2.93,2.93,0,0.01,1285,144,4,7,155,2.15,0.27,0.51,2.93,1498
1624580081,4/1/2016,9218,5.99,5.99,0,0.01,1219,221,0,0,221,5.97,0,0,5.97,1541
1624580081,4/2/2016,1556,1.01,1.01,0,0.01,1352,88,0,0,88,1.01,0,0,1.01,1327
1624580081,4/3/2016,2910,1.89,1.89,0,0.01,1283,157,0,0,157,1.88,0,0,1.88,1452
1624580081,4/4/2016,18464,12,12,0,0,1170,270,0,0,270,12,0,0,12,1574
